iter	Logloss
0	0.6896392363
1	0.6860214349
2	0.6827776068
3	0.6794820351
4	0.6759142108
5	0.6729814692
6	0.67019017
7	0.6668380832
8	0.6637128712
9	0.6607964263
10	0.6572764318
11	0.6544667096
12	0.6516325615
13	0.6490724021
14	0.6464407385
15	0.6439456156
16	0.641340371
17	0.6390157556
18	0.6365592703
19	0.6341562334
20	0.6320345194
21	0.6297046666
22	0.6275100791
23	0.6252279274
24	0.6231481301
25	0.6210525062
26	0.6187552154
27	0.6166746038
28	0.6144770742
29	0.6123344576
30	0.6106604292
31	0.6086086006
32	0.6069723319
33	0.6050078148
34	0.6033333968
35	0.6016539768
36	0.6001330865
37	0.5985104346
38	0.5969685708
39	0.5956815681
40	0.5940746553
41	0.592391573
42	0.5910916623
43	0.5896691843
44	0.5882580288
45	0.586856747
46	0.5855530569
47	0.5842322879
48	0.5828685927
49	0.5816956848
50	0.5805583777
51	0.5793102888
52	0.5781498338
53	0.5769118976
54	0.5757109153
55	0.5740323987
56	0.572789446
57	0.5713283144
58	0.5701959077
59	0.5690893824
60	0.5681944437
61	0.5672197148
62	0.5661735114
63	0.5652040386
64	0.5641185797
65	0.5632753172
66	0.5623744989
67	0.5615693009
68	0.5605501625
69	0.5595456196
70	0.5586370478
71	0.557783992
72	0.5570673039
73	0.5562749411
74	0.555501746
75	0.5549269714
76	0.5539616302
77	0.5530355396
78	0.5523016956
79	0.5516037424
80	0.5507822075
81	0.550097989
82	0.5492765427
83	0.5484265007
84	0.5477735205
85	0.5471506713
86	0.5463975841
87	0.5456447466
88	0.5448604557
89	0.5442089112
90	0.5434489873
91	0.5428681703
92	0.5423390023
93	0.5416421065
94	0.5410445668
95	0.5404604174
96	0.5394798826
97	0.5390715503
98	0.5383977011
99	0.538013852
100	0.5375467041
101	0.5369955148
102	0.5364724356
103	0.5359995911
104	0.5352765119
105	0.5346691193
106	0.5341410006
107	0.5334563719
108	0.5328765444
109	0.5320322507
110	0.5316555162
111	0.5311584924
112	0.5306754739
113	0.5301254686
114	0.5296143151
115	0.5291310687
116	0.5286555985
117	0.52833117
118	0.5277143367
119	0.5272526711
120	0.5269109872
121	0.526509715
122	0.5261519637
123	0.5257890933
124	0.5253008732
125	0.524874231
126	0.5245563748
127	0.524043152
128	0.523716693
129	0.5233764439
130	0.5228841472
131	0.5224684027
132	0.5220093744
133	0.5215496981
134	0.5212336712
135	0.5208512512
136	0.5202835044
137	0.5200229621
138	0.5194251423
139	0.519059974
140	0.5187878415
141	0.5184310475
142	0.5179353838
143	0.5174467982
144	0.5171630516
145	0.5166511501
146	0.5163784294
