iter	Passed	Remaining
432	1526	3761
433	1529	3757
434	1533	3754
435	1536	3749
436	1539	3745
437	1543	3741
438	1546	3737
439	1549	3733
440	1552	3728
441	1555	3723
442	1559	3720
443	1562	3715
444	1565	3711
445	1568	3706
446	1571	3701
447	1574	3697
448	1577	3692
449	1580	3688
450	1583	3684
451	1587	3679
452	1590	3676
453	1594	3673
454	1597	3668
455	1600	3664
456	1603	3660
457	1606	3655
458	1610	3652
459	1613	3647
460	1616	3644
461	1620	3639
462	1623	3635
463	1626	3631
464	1629	3627
465	1633	3624
466	1636	3620
467	1639	3615
468	1642	3610
469	1645	3606
470	1648	3602
471	1652	3599
472	1655	3595
473	1659	3591
474	1661	3586
475	1665	3582
476	1668	3577
477	1671	3573
478	1675	3571
479	1678	3565
480	1681	3561
481	1684	3557
482	1687	3553
483	1691	3549
484	1694	3545
485	1697	3541
486	1700	3537
487	1703	3533
488	1706	3529
489	1710	3525
490	1713	3521
491	1716	3517
492	1720	3514
493	1724	3511
494	1728	3508
495	1732	3505
496	1735	3502
497	1739	3499
498	1742	3495
499	1745	3491
500	1749	3487
501	1752	3484
502	1755	3480
503	1759	3477
504	1763	3474
505	1767	3471
506	1770	3466
507	1773	3462
508	1776	3458
509	1780	3456
510	1784	3453
511	1787	3449
512	1790	3445
513	1794	3442
514	1797	3438
515	1801	3434
516	1804	3430
517	1807	3426
518	1810	3422
519	1813	3418
520	1816	3414
521	1820	3410
522	1823	3406
523	1826	3401
524	1829	3397
525	1832	3393
526	1836	3390
527	1839	3386
528	1842	3382
529	1845	3378
530	1848	3374
531	1852	3370
532	1854	3365
533	1857	3360
534	1860	3356
535	1864	3352
536	1866	3348
537	1869	3342
538	1872	3338
539	1875	3334
540	1878	3330
541	1882	3326
542	1885	3322
543	1888	3319
544	1891	3315
545	1895	3312
546	1898	3308
547	1902	3304
548	1905	3300
549	1908	3296
550	1911	3292
551	1914	3288
552	1917	3284
553	1920	3280
554	1924	3276
555	1927	3272
556	1930	3269
557	1934	3264
558	1937	3261
559	1940	3257
560	1943	3253
561	1946	3249
562	1950	3245
563	1953	3241
564	1956	3237
565	1959	3233
566	1962	3229
567	1965	3225
568	1969	3222
569	1972	3217
570	1974	3213
571	1978	3209
572	1981	3206
573	1985	3202
574	1988	3198
575	1991	3194
576	1994	3191
577	1998	3187
578	2002	3184
579	2004	3180
580	2007	3175
581	2011	3172
582	2014	3168
583	2017	3164
584	2020	3160
585	2023	3156
586	2026	3152
587	2030	3149
588	2034	3146
589	2037	3142
590	2040	3139
591	2044	3135
592	2047	3132
593	2050	3127
594	2053	3124
595	2057	3121
596	2061	3118
597	2065	3114
598	2068	3110
599	2071	3106
600	2074	3103
601	2077	3099
602	2081	3095
603	2084	3091
604	2087	3088
605	2090	3084
606	2094	3080
607	2097	3077
608	2100	3073
609	2104	3069
610	2107	3066
611	2110	3061
612	2113	3058
613	2116	3054
614	2119	3050
615	2123	3047
616	2126	3043
617	2129	3039
618	2132	3034
619	2135	3030
620	2138	3026
621	2141	3023
622	2144	3019
623	2147	3014
624	2150	3010
625	2153	3006
626	2156	3003
627	2160	3000
628	2164	2997
629	2167	2993
630	2170	2989
631	2174	2985
632	2176	2981
633	2179	2977
634	2182	2973
635	2186	2969
636	2189	2965
637	2192	2962
638	2195	2958
639	2198	2954
640	2202	2951
641	2205	2947
